NQR QUALIFICATIONS SUMMARY SHEET,,,,Downloaded on: 17-09-2026 06:36:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
S No.,Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,,
1333,Office Assistant (Divyangjan)-VI,QG-03-PD-02211-2024-V1-SCPWD,Office Assistant is responsible for assisting colleagues with clerical and administrative tasks. The person may work separately with a particular department or a group of departments.,Persons with Disability,Level 3,690 Hours,690 Hours,Version ,15 Mar 2024,17 Nov 2026,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Office support,Secretary/ Office Executive,General Qualification,Management & Entrepreneurship and Professional Skills,"{""Theory"":""140"",""Practical"":""520"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
1334,Cold Chain Specialist (Green Engineering),QG-06-TW-02192-2024-V1-LSC,"The individual at work manages sustainability in cold chain by analyzing data related to energy use,
identifying inefficiencies and implementing ways towards sustainability. The person is also responsible for maintaining equipment for temperature and storage conditions, undertaking water and effluent treatment in the plant and managing control systems of the refrigeration system components.","Transportation, Logistics & Warehousing",Level 6,600 Hours,600 Hours,Version ,15 Mar 2024,15 Mar 2027,Logistics Sector Skill Council (LSC),Logistics skill council,"Engineering, Sustainability",Senior Green Engineering Specialist,Future Skills Qualification,N.A.,"{""Theory"":""170"",""Practical"":""280"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",,
1335,Field Technician – Small Home Appliances (Divyangjan) - LD,QG-04-PD-02213-2024-V2-SCPWD,Field Technician – is responsible for interacting with the customer to install the appliance as well as diagnose the problem. The individual also needs to assess possible causes of fault reported and rectify problems/faults.,Persons with Disability,Level 4,640 Hours,640 Hours,Version ,15 Mar 2024,02 Jun 2026,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,After Sales Service,Field Supervisor-Small Home Appliance,General Qualification,Electronics,"{""Theory"":""186"",""Practical"":""234"",""EmployabilitySkills"":""70"",""OJT_Mandatory"":""150""}",,
1336,Green Hydrogen Refuelling Hub Operator,QG-03-TW-02473-2024-V1-LSC,"The Green Hydrogen Refuelling Hub Operator fills vehicles and vessels with liquid and gaseous hydrogen. The individual in this role is responsible for operating the storage and dispensing equipment with safety and ensuring customer assistance at the refuelling hub. The individual will also maintain records, generate reports, and ensure regulatory compliance for optimal hub performance.","Transportation, Logistics & Warehousing",Level 3,390 Hours,390 Hours,Version ,30 Apr 2024,30 Apr 2027,Logistics Sector Skill Council (LSC),Logistics sector skill council,"Green Hydrogen Operations/Handling, Hub Operations","Shift Supervisor - Hydrogen Refuelling Hub (Level 4); 
Green Hydrogen storage hub senior operator (Level 4)","Cross Sectoral Qualification,Future Skills Qualification",N.A.,"{""Theory"":""100"",""Practical"":""230"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""30""}",,
1337,Essential Concepts for school student (Medicine and Vaccine),NM-01-LS-02542-2024-V1-LSSSDC,This life skills course shall enable participant to learn about fundamental concept of medicine and vaccine which will help in developing understanding about management of their health and wellbeing. He/she will gain health literacy and safety awareness. Will be able to quench their inquisitiveness about how medicines are developed. He/she will develop understanding of immunization which helps in disease prevention.,Life Sciences,Level 1,15 Hours,15 Hours,Version ,30 Apr 2024,30 Apr 2027,Life Sciences Sector Skill Development Council (LSSSDC),Life Sciences Sector Skill Development Council (LSSSDC),Not Applicable,Not Applicable,"General Qualification,Micro Credentials",N.A.,"{""Theory"":""9"",""Practical"":""6"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
1338,Field Technician Small Home Appliances (Divyangjan)-LV,QG-04-PD-02215-2024-V2-SCPWD,Field Technician – is responsible for interacting with the customer to install the appliance as well as diagnose the problem. The individual also needs to assess possible causes of fault reported and rectify problems/faults.,Persons with Disability,Level 4,790 Hours,790 Hours,Version ,15 Mar 2024,02 Jun 2026,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,After Sales Service,Field Supervisor-Small Home Appliance,General Qualification,Electronics,"{""Theory"":""186"",""Practical"":""384"",""EmployabilitySkills"":""70"",""OJT_Mandatory"":""150""}",,
1339,Rooftop Solar Grid Junior Engineer,QG-05-ES-02627-2024-V2-SCGJ,"Rooftop Solar Grid Junior Engineer checks, inspects, interconnects and tests different components of the grid connected Solar rooftop PV Power Plant in compliance with all relevant codes, standards and safety requirements.",Environmental Science,Level 5,540 Hours,540 Hours,Version ,27 May 2021,29 May 2027,Skill Council for Green Jobs (SCGJ),Skill Council for Green Jobs,"Electrical Engineer, General",Rooftop Solar Grid Junior Engineer (Level 5) to Solar PV Plant Site In- Charge (Level 6),General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
1340,Green Hydrogen Storage Hub Senior Operator,QG-04-TW-02475-2024-V1-LSC,"The Green Hydrogen Storage Hub Senior Operator plays a pivotal role in the safe and efficient operation of the Green Hydrogen Storage Facility. The individual in this role is responsible for overseeing loading, unloading, and dispatch activities, ensuring seamless flow of the hub operations. The individual will also be responsible for monitoring the storage tanks and infrastructure, implementing preventive maintenance schedules for optimal functionality, and contributing to the reliability of the sustainable energy hub.","Transportation, Logistics & Warehousing",Level 4,480 Hours,480 Hours,Version ,30 Apr 2024,30 Apr 2027,Logistics Sector Skill Council (LSC),Logistics Sector Skill Council,"Green Hydrogen Operations/Handling, Hub Operations",Green Hydrogen Storage Hub Supervisor/In-charge,"Cross Sectoral Qualification,Future Skills Qualification",N.A.,"{""Theory"":""125"",""Practical"":""295"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""30""}",,
1341,Green Hydrogen Tube Trailer - Driver,QG-04-TW-02474-2024-V1-LSC,"The Green Hydrogen Tube Trailer Driver will drive specialized tube trailers efficiently on the assigned route and fulfil critical fuelling needs for a sustainable future. The individual will be responsible for safely transporting Green Hydrogen, complying with strict safety regulations and procedures. This role requires the individual to possess relevant technical skills to handle most of the routine breakdowns that could likely be encountered while driving long distances and through various terrains. The individual is also expected to achieve key performance parameters like fuel efficiency, on-time delivery, etc.","Transportation, Logistics & Warehousing",Level 4,480 Hours,480 Hours,Version ,30 Apr 2024,30 Apr 2027,Logistics Sector Skill Council (LSC),Logistics Sector Skill Council,"Green Hydrogen Operations/ Handling, Transport Operations , Vehicle Operations",Green Hydrogen Dispatcher/ Logistics Coordinator,"Cross Sectoral Qualification,Future Skills Qualification",N.A.,"{""Theory"":""120"",""Practical"":""270"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
1342,Washing Machine Operator (Divyangjan) -SHI,QG-03-PD-02222-2024-V2-SCPWD,"Washing Machine Operator is responsible to perform various types of washings for apparel and garments, made ups and home furnishing articles. The washings are intended to achieve desired finish reflected in terms of improved performance, cleanliness, luster, feel, drape, softness with combinations of time, temperature, process conditions and chemical formulations specific to product class. The operator should be able to interpret and understand technical specifications and ensure correct wash cycle is used for product type.",Persons with Disability,Level 3,490 Hours,490 Hours,Version ,15 Mar 2024,17 Nov 2026,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Sampling,Processing Supervisor Level 4(Vertical),General Qualification,Apparels,"{""Theory"":""198"",""Practical"":""222"",""EmployabilitySkills"":""70"",""OJT_Mandatory"":""0""}",,
1343,Washing Machine Operator (Divyangjan) -LV,QG-03-PD-02223-2024-V2-SCPWD,"Washing Machine Operator is responsible to perform various types of washings for apparel and garments, made ups and home furnishing articles. The washings are intended to achieve desired finish reflected in terms of improved performance, cleanliness, luster, feel, drape, softness with combinations of time, temperature, process conditions and chemical formulations specific to product class. The operator should be able to interpret and understand technical specifications and ensure correct wash cycle is used for product type.",Persons with Disability,Level 3,540 Hours,540 Hours,Version ,15 Mar 2024,17 Nov 2026,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Sampling,Processing Supervisor Level 4(Vertical),General Qualification,Apparels,"{""Theory"":""168"",""Practical"":""342"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
1344,Introduction to AI in Logistics,NM-3.5-TW-02252-2024-V1-LSC,"This program introduces to various aspects of Artificial Intelligence in Logistics. This course covers the
basics of Artificial Intelligence and the areas of implementation in Logistics. The micro credential focuses
on inspiring school students for a career in Logistics and for upskilling.","Transportation, Logistics & Warehousing",Level 3.5,30 Hours,30 Hours,Version ,15 Mar 2024,15 Mar 2027,Logistics Sector Skill Council (LSC),Logistics sector skill council,Generic,Not applicable,Future Skills Qualification,N.A.,"{""Theory"":""22"",""Practical"":""8"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
1345,Guest Service Associate (Front Office) - (Divyangjan)-LD,QG-04-PD-02216-2024-V2-SCPWD,The individual at work performs either front office associate or reservation desk associate operations as per organizational service standards.,Persons with Disability,Level 4,670 Hours,460 Hours,Version ,15 Mar 2024,24 Feb 2026,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Front Office Management,Guest Service Executive,General Qualification,Tourism and Hospitality,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""70"",""OJT_Mandatory"":""60""}",,
1346,Supply Chain Sustainability Specialist,QG-06-TW-02189-2024-V1-LSC,"Supply chain sustainability specialist is responsible for developing sustainable solutions across various
functions in the supply chain. S/He will analyse and create SOPs to be followed for sustainability. The
supply chain sustainability specialist will ensure the successful implementation of these processes with
measurable results.","Transportation, Logistics & Warehousing",Level 6,600 Hours,600 Hours,Version ,15 Mar 2024,15 Mar 2027,Logistics Sector Skill Council (LSC),Logistics sector skill council,Sustainability,Senior Sustainability Specialist,Future Skills Qualification,N.A.,"{""Theory"":""125"",""Practical"":""325"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""60""}",,
1347,Transportation Data Analyst,QG-06-TW-02190-2024-V1-LSC,"The individual is responsible for working on the transportation monitoring, reporting, data analysis and
bring business insights into the processes ensuring the transportation improves on a continuous basis.","Transportation, Logistics & Warehousing",Level 6,630 Hours,630 Hours,Version ,15 Mar 2024,15 Mar 2027,Logistics Sector Skill Council (LSC),Logistics sector skill council,"Technology, Transport Operations",Senior Transportation Data Analyst,"Cross Sectoral Qualification,Future Skills Qualification",N.A.,"{""Theory"":""165"",""Practical"":""315"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""60""}",,
1348,Practicing One Health Approach (Livestock),NM-04-AG-02539-2024-V1-ASCI,"This OS unit is about practicing the One Health approach (livestock) in farming and delivering agricultural extension services by paraprofessionals with a basic understanding of interconnections between humans, animals, plants, and ecosystems and how they influence each other dynamically. Besides technical aspects, it covers skills for effective communication, workplace resilience, and recognizing and collaborating with One Health partners.",Agriculture,Level 4,30 Hours,30 Hours,Version ,30 Apr 2024,30 Apr 2027,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India (ASCI),N/A,N/A,"Future Skills Qualification,Micro Credentials",N.A.,"{""Theory"":""20"",""Practical"":""10"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
1349,Green Hydrogen Tank Farm Manager,QG-06-TW-02476-2024-V1-LSC,"The individual manages one or more Green Hydrogen tank farms, monitors overall operations, maintenance and coordinates with stakeholders. She/he is also responsible for the safety and security of the storage of liquid Green Hydrogen and the infrastructure of the tank farm. The individual ensures compliance with all protocols and restrictions for handling GH2.","Transportation, Logistics & Warehousing",Level 6,600 Hours,600 Hours,Version ,30 Apr 2024,30 Apr 2027,Logistics Sector Skill Council (LSC),Logistics Sector Skill Council,"Green Hydrogen Operations/ Handling, Port Operations Coordination, Documentation and Reporting, Engineering/Maintenance",Green Hydrogen Value Chain - SHEQ Manager,"Cross Sectoral Qualification,Future Skills Qualification",N.A.,"{""Theory"":""160"",""Practical"":""350"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
